Населено място	Търговски обект	Наименование на продукта	Код на продукта	Категория	Цена на дребно	Цена в промоция
65677	Хранителна борса Сарандиев	Бял хляб Яневи 650гр.	17	1	0.92	0
65677	Хранителна борса Сарандиев	Бял хляб Хасково 650гр.	3	1	0.92	0
65677	Хранителна борса Сарандиев	Бял хляб Карина 650гр.	11	1	0.92	0
65677	Хранителна борса Сарандиев	Бял хляб България 650гр.	100011	1	0.92	0
65677	Хранителна борса Сарандиев	Бял хляб Предпочитаният хляб 650гр.	200011	1	0.92	0
65677	Хранителна борса Сарандиев	Бял хляб Истинския хляб 650гр.	1000902	1	0.92	0
65677	Хранителна борса Сарандиев	Бял хляб със закваска 500гр.	1000762	1	1.15	0
65677	Магазин Граничар	Бял хляб Хасково 650гр.	1	1	0.92	0
65677	Магазин Граничар	Бял хляб Яневи 650гр.	1001	1	0.92	0
65677	Хранителна борса Сарандиев	Хляб Добруджа Харманли 650гр.	4	2	0.92	0
65677	Хранителна борса Сарандиев	Типов хляб  Яневи 650гр.	100017	4	0.92	0
65677	Хранителна борса Сарандиев	Типов хляб  Истинския хляб Харманли 500гр.	1196	4	0.86	0
65677	Магазин Граничар	Типов хляб Яневи 500гр.	1002	4	0.92	0
65677	Хранителна борса Сарандиев	Точени кори Белла 400гр.	35	5	1.79	0
65677	Хранителна борса Сарандиев	 Фамилия финни точени кори 500гр.	36	5	1.85	0
65677	Хранителна борса Сарандиев	 Тракийски точени кори 400гр.	39	5	1.35	0
65677	Хранителна борса Сарандиев	Одрински кори 500гр.	2624	5	1.69	0
65677	Хранителна борса Сарандиев	Фини Одрински кори 500гр.	378	5	1.72	0
65677	Хранителна борса Сарандиев	Пълнозърнести точени кори Белла 400гр.	2175	5	1.79	0
65677	Хранителна борса Сарандиев	Прясно мляко Верея 3% 1л	1001228	6	1.66	0
65677	Хранителна борса Сарандиев	Прясно мляко Верея Чудно 3,7% 1л	1001172	6	1.72	0
65677	Хранителна борса Сарандиев	Прясно мляко Олимпус 3,7% 1л	1001602	6	1.72	0
65677	Хранителна борса Сарандиев	Прясно мляко Меггле 3.2% 1л	1001619	6	1.6	0
65677	Хранителна борса Сарандиев	Прясно мляко Бор чвор 3.5% 1л	1000692	6	1.68	0
